ID (hex),DLC,Data (hex),ASCII,Adjusted_Time
541,8,82 2A 09 3C 8D 0D 00 00,.*.<....,15:52:02.523
238,8,07 00 00 C0 00 00 00 00,........,15:52:02.525
21A,2,00 00,..,15:52:02.526
108,1,1,.,15:52:02.527
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:02.528
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.529
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:02.530
304,7,4B 8B 01 00 FF 82 04,K......,15:52:02.531
404,1,1,.,15:52:02.531
541,8,B3 6A 0C 3D A1 0C 00 00,.j.=....,15:52:02.533
223,2,55 AA,U.,15:52:02.536
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:02.537
50A,4,00 01 00 00,....,15:52:02.537
108,1,1,.,15:52:02.538
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.539
20F,8,FF 01 04 00 00 3E 03 56,.....>.V,15:52:02.542
541,8,84 EA 86 3F BD F4 A5 02,...?....,15:52:02.543
290,8,01 B8 1F 55 3B 1D 00 00,...U,15:52:02.544
228,8,00 00 00 00 00 00 00 00,........,15:52:02.547
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.549
108,1,1,.,15:52:02.549
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.550
509,4,00 00 00 00,....,15:52:02.551
541,8,B5 EA 00 3F E1 54 00 00,...?.T..,15:52:02.553
292,8,40 21 00 00 00 00 80 9C,@!......,15:52:02.554
408,1,4,.,15:52:02.555
20D,2,50 03,P.,15:52:02.555
203,8,50 21 00 93 00 01 57 FF,P!....W.,15:52:02.556
108,1,1,.,15:52:02.557
213,4,02 01 90 00,....,15:52:02.557
234,2,00 00,..,15:52:02.558
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.559
23E,5,70 00 80 80 00,p....,15:52:02.560
403,1,1,.,15:52:02.560
40B,1,0,.,15:52:02.560
541,8,B6 6A 00 3E D5 54 00 00,.j.>.T..,15:52:02.563
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:02.565
108,1,1,.,15:52:02.567
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.569
541,8,B7 6A 00 3D B1 54 00 00,.j.=.T..,15:52:02.573
230,8,02 00 00 00 00 00 00 00,........,15:52:02.576
20A,6,50 20 00 00 80 00,P ....,15:52:02.577
108,1,1,.,15:52:02.578
40A,1,0,.,15:52:02.578
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.579
50A,4,00 01 00 00,....,15:52:02.580
50B,2,0A 00,..,15:52:02.580
541,8,88 6A 00 3A D1 54 00 00,.j.:.T..,15:52:02.583
248,8,10 00 00 06 00 FF FF 00,........,15:52:02.585
108,1,1,.,15:52:02.586
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.589
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.590
509,4,00 00 00 00,....,15:52:02.591
541,8,39 00 00 00 08 00 00 00,9.......,15:52:02.593
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:02.594
240,8,62 64 00 00 00 00 00 00,bd......,15:52:02.596
108,1,1,.,15:52:02.596
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.599
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:02.600
541,8,7A 1C 00 3E 05 00 00 00,z..>....,15:52:02.603
23E,5,70 00 80 80 00,p....,15:52:02.606
11B,5,00 40 D4 00 30,.@..0,15:52:02.606
11B,5,00 40 D4 00 30,.@..0,15:52:02.607
108,1,1,.,15:52:02.608
20E,4,00 02 07 02,....,15:52:02.608
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.609
407,1,0,.,15:52:02.610
411,8,00 00 10 00 00 00 00 00,........,15:52:02.611
209,6,50 20 00 00 80 00,P ....,15:52:02.612
219,2,00 00,..,15:52:02.612
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:02.613
409,1,0,.,15:52:02.614
50E,2,0A 00,..,15:52:02.614
541,8,AB EA FF 00 00 00 00 00,........,15:52:02.615
50A,4,00 01 00 00,....,15:52:02.616
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.619
410,1,50,P,15:52:02.620
208,8,00 00 00 00 00 00 00 00,........,15:52:02.621
239,8,10 02 ED 70 0C C4 20 32,...p.. 2,15:52:02.622
108,1,1,.,15:52:02.622
541,8,0C 00 06 00 00 00 00 00,........,15:52:02.623
21A,2,00 00,..,15:52:02.626
238,8,07 00 00 C0 00 00 00 00,........,15:52:02.627
108,1,1,.,15:52:02.627
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.629
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:02.630
304,7,4B 8B 01 00 FF 82 04,K......,15:52:02.631
404,1,1,.,15:52:02.632
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.632
509,4,00 00 00 00,....,15:52:02.633
541,8,0D 3B 01 00 00 00 00 00,.,15:52:02.634
223,2,55 AA,U.,15:52:02.636
108,1,1,.,15:52:02.637
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.639
20F,8,FF 01 04 00 00 3E 13 66,.....>.f,15:52:02.642
541,8,3E 9C A4 09 00 00 00 00,>.......,15:52:02.643
290,8,01 B8 FF 54 3B 1E 00 00,...T,15:52:02.644
228,8,00 00 00 00 00 00 00 00,........,15:52:02.647
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:02.647
108,1,1,.,15:52:02.648
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.649
541,8,A0 2A 00 02 00 00 00 00,.*......,15:52:02.653
292,8,40 21 00 00 00 00 90 51,@!.....Q,15:52:02.654
408,1,4,.,15:52:02.655
20D,2,50 03,P.,15:52:02.655
203,8,50 21 00 93 00 01 57 FF,P!....W.,15:52:02.656
108,1,1,.,15:52:02.657
213,4,02 01 90 00,....,15:52:02.657
234,2,00 00,..,15:52:02.658
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.659
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:02.660
23E,5,70 00 80 80 00,p....,15:52:02.661
403,1,1,.,15:52:02.661
40B,1,0,.,15:52:02.661
50A,4,00 01 00 00,....,15:52:02.662
541,8,91 26 00 01 00 00 00 00,.&......,15:52:02.663
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:02.666
108,1,1,.,15:52:02.666
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.669
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.670
509,4,00 00 00 00,....,15:52:02.671
541,8,82 EA 08 3C 8D 0D 00 00,...<....,15:52:02.673
240,8,62 64 00 00 00 00 00 00,bd......,15:52:02.676
20A,6,50 20 00 00 80 00,P ....,15:52:02.677
108,1,1,.,15:52:02.677
230,8,00 00 00 00 00 00 00 00,........,15:52:02.678
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.679
40A,1,0,.,15:52:02.680
50B,2,0A 00,..,15:52:02.680
541,8,A3 EA 0C 3C 99 0C 00 00,...<....,15:52:02.683
248,8,10 00 00 06 00 FF FF 00,........,15:52:02.685
512,8,0A 86 02 C5 B9 96 55 AC,......U.,15:52:02.686
513,8,0A 86 02 C5 B9 96 55 AC,......U.,15:52:02.687
108,1,1,.,15:52:02.687
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.689
541,8,94 AA 87 3F C5 F4 A5 02,...?....,15:52:02.693
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:02.694
50A,4,00 01 00 00,....,15:52:02.696
108,1,1,.,15:52:02.697
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.699
