ID_(dec),ID_(hex),Occurrences,Payload_Changes,Total_Unique_Payloads
264,108,69537,9,4
515,203,7418,13,8
520,208,7313,18,6
521,209,7409,18,10
522,20A,7340,18,10
525,20D,7331,9,8
531,213,7401,3,3
532,214,7417,25,5
547,223,7353,5,3
564,234,7341,6,3
568,238,7368,9,7
576,240,9183,4,4
584,248,7352,20,7
600,258,1444,2,2
792,318,1,0,1
863,35F,1,0,1
865,361,730,14,4
936,3A8,1,0,1
1291,50B,7023,8,5
1294,50E,6943,8,5
1298,512,704,4,5
1299,513,702,4,5
1352,548,165,4,2
1384,568,14,13,3
1400,578,3,2,3
