ID_(dec),ID_(hex),Occurrences,Payload_Changes
283,11B,7407,7352
526,20E,7399,199
527,20F,7404,7403
536,218,7363,206
542,21E,73653,1957
553,229,7370,1302
554,22A,6117,1081
560,230,7355,7347
569,239,7205,1141
570,23A,6120,1074
574,23E,14663,163
656,290,14695,14620
658,292,7436,7435
767,2FF,1814,1813
206158430208,3000000000,1481,1479
772,304,7391,317
854,356,730,728
879,36F,381,145
920,398,530,526
938,3AA,738,157
1027,403,7212,2864
1028,404,7290,2900
1031,407,7295,2916
1032,408,7296,1464
1033,409,7170,1442
1034,40A,7150,1435
1035,40B,7218,2914
1040,410,7219,7218
1284,504,18356,51
1290,50A,18120,33
1345,541,72298,72297
