ID_(dec),ID_(hex),Occurrences,Payload_Changes,Total_Unique_Payloads
264,108,69537,9,9154
283,11B,7407,7352,9154
515,203,7418,13,9154
520,208,7313,18,9154
521,209,7409,18,9154
522,20A,7340,18,9154
525,20D,7331,9,9154
526,20E,7399,199,9154
527,20F,7404,7403,9154
531,213,7401,3,9154
532,214,7417,25,9154
536,218,7363,206,9154
537,219,7392,0,9154
538,21A,7061,0,9154
542,21E,73653,1957,9154
547,223,7353,5,9154
552,228,7361,0,9154
553,229,7370,1302,9154
554,22A,6117,1081,9154
558,22E,5584,0,9154
560,230,7355,7347,9154
564,234,7341,6,9154
568,238,7368,9,9154
569,239,7205,1141,9154
570,23A,6120,1074,9154
574,23E,14663,163,9154
576,240,9183,4,9154
584,248,7352,20,9154
600,258,1444,2,9154
656,290,14695,14620,9154
658,292,7436,7435,9154
767,2FF,1814,1813,9154
206158430208,3000000000,1481,1479,9154
771,303,733,0,9154
772,304,7391,317,9154
776,308,734,0,9154
777,309,732,0,9154
778,30A,703,0,9154
783,30F,724,0,9154
787,313,989,0,9154
788,314,738,0,9154
792,318,1,0,9154
793,319,719,0,9154
831,33F,238,0,9154
854,356,730,728,9154
863,35F,1,0,9154
865,361,730,14,9154
879,36F,381,145,9154
911,38F,727,0,9154
920,398,530,526,9154
936,3A8,1,0,9154
938,3AA,738,157,9154
1027,403,7212,2864,9154
1028,404,7290,2900,9154
1031,407,7295,2916,9154
1032,408,7296,1464,9154
1033,409,7170,1442,9154
1034,40A,7150,1435,9154
1035,40B,7218,2914,9154
1040,410,7219,7218,9154
1041,411,7329,0,9154
1284,504,18356,51,9154
1289,509,18263,0,9154
1290,50A,18120,33,9154
1291,50B,7023,8,9154
1293,50D,720,0,9154
1294,50E,6943,8,9154
1298,512,704,4,9154
1299,513,702,4,9154
1300,514,714,0,9154
1305,519,695,0,9154
1306,51A,706,0,9154
1310,51E,735,0,9154
1315,523,727,0,9154
1345,541,72298,72297,9154
1352,548,165,4,9154
1384,568,14,13,9154
1400,578,3,2,9154
1407,57F,145,0,9154
1416,588,1266,0,9154
