Time,Payload,Payload_Occurrences
15:52:02.577,50 20 00 00 80 00,2935
15:52:29.385,50 20 05 00 80 00,3583
15:52:37.889,50 20 00 00 9B 00,2
15:52:37.988,50 20 00 00 92 00,553
15:52:42.189,50 20 05 00 89 00,16
15:52:43.790,50 20 05 00 80 00,3583
15:54:45.629,50 80 05 00 80 00,48
15:54:48.030,50 60 05 00 80 00,137
15:54:56.133,50 40 05 00 80 00,50
15:54:58.634,50 20 05 00 80 00,3583
15:55:01.635,50 80 05 00 80 00,48
15:55:04.035,50 60 05 00 80 00,137
15:55:09.637,50 40 05 00 80 00,50
15:55:12.138,50 20 05 00 80 00,3583
16:00:24.741,50 20 00 00 9B 00,2
16:00:24.841,50 20 00 00 92 00,553
16:01:15.958,50 20 00 00 89 00,14
16:01:17.359,50 20 00 00 81 00,2
16:01:17.559,50 20 00 00 80 00,2935
