Time,Payload,Payload_Occurrences
15:52:02.608,00 02 07 02,7141
15:55:21.868,00 01 17 02,2
15:55:21.968,01 01 17 02,1
15:55:22.068,03 01 17 02,1
15:55:22.168,05 01 17 02,1
15:55:22.268,07 01 17 02,2
15:55:22.368,09 09 17 02,2
15:55:22.469,0B 01 17 02,1
15:55:22.569,0D 01 17 02,1
15:55:22.669,0F 01 17 02,1
15:55:22.769,11 01 17 02,1
15:55:22.868,13 01 17 02,1
15:55:22.969,15 01 17 02,1
15:55:23.069,17 01 17 02,1
15:55:23.169,19 01 17 02,1
15:55:23.269,1B 01 17 02,1
15:55:23.369,1E 01 17 02,2
15:55:23.469,20 01 17 02,2
15:55:23.569,22 01 17 02,2
15:55:23.669,24 01 17 02,2
15:55:23.769,26 01 17 02,2
15:55:23.869,28 01 17 02,2
15:55:23.969,2A 01 17 02,2
15:55:24.069,2C 01 17 02,2
15:55:24.169,2E 01 17 02,2
15:55:24.269,30 01 17 02,2
15:55:24.369,32 01 17 02,2
15:55:24.469,34 01 17 02,2
15:55:24.569,36 01 17 02,2
15:55:24.669,39 01 17 02,2
15:55:24.769,3B 01 17 02,1
15:55:24.869,3D 01 17 02,1
15:55:24.969,3F 01 17 02,1
15:55:25.069,41 01 17 02,1
15:55:25.169,43 01 17 02,1
15:55:25.269,45 01 17 02,1
15:55:25.369,48 01 17 02,2
15:55:25.469,4A 01 17 02,2
15:55:25.569,4C 01 17 02,2
15:55:25.669,4E 01 17 02,2
15:55:25.770,50 01 17 02,2
15:55:25.870,52 01 17 02,2
15:55:25.970,54 01 17 02,1
15:55:26.070,57 01 17 02,2
15:55:26.170,59 01 17 02,2
15:55:26.270,5B 01 17 02,2
15:55:26.370,5D 01 17 02,1
15:55:26.470,5F 01 17 02,1
15:55:26.570,61 01 17 02,1
15:55:26.670,63 01 17 02,2
15:55:26.770,65 01 17 02,2
15:55:26.870,67 01 17 02,2
15:55:26.970,69 01 17 02,2
15:55:27.070,6B 01 17 02,2
15:55:27.170,6D 01 17 02,1
15:55:27.270,6F 01 17 02,1
15:55:27.370,71 01 17 02,1
15:55:27.470,73 01 17 02,1
15:55:27.570,75 01 17 02,1
15:55:27.670,77 01 17 02,1
15:55:27.770,7A 01 17 02,2
15:55:27.870,7C 01 17 02,2
15:55:27.970,7E 01 17 02,2
15:55:28.070,80 01 17 02,2
15:55:28.170,82 01 17 02,2
15:55:28.270,84 01 17 02,2
15:55:28.370,86 01 17 02,2
15:55:28.470,88 01 17 02,2
15:55:28.570,8A 01 17 02,2
15:55:28.670,8C 01 17 02,2
15:55:28.770,8E 01 17 02,2
15:55:28.870,90 01 17 02,2
15:55:28.970,92 01 17 02,1
15:55:29.070,94 01 17 02,1
15:55:29.170,96 01 17 02,1
15:55:29.271,98 01 17 02,1
15:55:29.371,9A 01 17 02,1
15:55:29.471,9C 01 17 02,1
15:55:29.571,9E 01 17 02,2
15:55:29.671,A0 01 17 02,2
15:55:29.771,A2 01 17 02,2
15:55:29.871,A4 01 17 02,2
15:55:29.971,A6 01 17 02,1
15:55:30.071,A8 01 17 02,1
15:55:30.171,AA 01 17 02,1
15:55:30.271,AC 01 17 02,1
15:55:30.371,AE 01 17 02,1
15:55:30.471,B0 01 17 02,1
15:55:30.571,B2 01 17 02,1
15:55:30.671,B4 01 17 02,1
15:55:30.771,B6 01 17 02,1
15:55:30.871,B8 01 17 02,1
15:55:30.971,BA 01 17 02,1
15:55:31.072,BC 01 17 02,1
15:55:31.171,BE 01 17 02,1
15:55:31.271,C0 01 17 02,1
15:55:31.371,C3 01 17 02,2
15:55:31.471,C4 00 17 02,4
15:55:31.871,C4 00 07 02,55
15:55:37.374,C4 01 17 02,1
15:55:37.474,C3 01 17 02,2
15:55:37.574,C1 01 17 02,1
15:55:37.674,BF 01 17 02,1
15:55:37.774,BD 01 17 02,1
15:55:37.874,BB 01 17 02,1
15:55:37.974,B9 01 17 02,1
15:55:38.074,B7 01 17 02,1
15:55:38.174,B5 01 17 02,1
15:55:38.274,B3 01 17 02,1
15:55:38.374,B1 01 17 02,1
15:55:38.474,AF 01 17 02,1
15:55:38.574,AD 01 17 02,1
15:55:38.674,AB 01 17 02,1
15:55:38.775,A9 01 17 02,1
15:55:38.874,A7 01 17 02,1
15:55:38.974,A5 01 17 02,1
15:55:39.074,A4 01 17 02,2
15:55:39.174,A2 01 17 02,2
15:55:39.275,A0 01 17 02,2
15:55:39.375,9E 01 17 02,2
15:55:39.475,9B 01 17 02,1
15:55:39.575,99 01 17 02,1
15:55:39.674,97 01 17 02,1
15:55:39.775,95 01 17 02,1
15:55:39.875,93 01 17 02,1
15:55:39.975,91 01 17 02,1
15:55:40.075,90 01 17 02,2
15:55:40.175,8E 01 17 02,2
15:55:40.276,8C 01 17 02,2
15:55:40.375,8A 01 17 02,2
15:55:40.475,88 01 17 02,2
15:55:40.575,86 01 17 02,2
15:55:40.675,84 01 17 02,2
15:55:40.775,82 01 17 02,2
15:55:40.875,80 01 17 02,2
15:55:40.975,7E 01 17 02,2
15:55:41.075,7C 01 17 02,2
15:55:41.175,7A 01 17 02,2
15:55:41.275,79 01 17 02,1
15:55:41.375,76 01 17 02,1
15:55:41.475,74 01 17 02,1
15:55:41.575,72 01 17 02,1
15:55:41.675,70 01 17 02,1
15:55:41.775,6E 01 17 02,1
15:55:41.875,6C 01 17 02,1
15:55:41.975,6B 01 17 02,2
15:55:42.075,69 01 17 02,2
15:55:42.175,67 01 17 02,2
15:55:42.275,65 01 17 02,2
15:55:42.375,63 01 17 02,2
15:55:42.475,60 01 17 02,1
15:55:42.576,5E 01 17 02,1
15:55:42.676,5C 01 17 02,1
15:55:42.776,5B 01 17 02,2
15:55:42.876,59 01 17 02,2
15:55:42.976,57 01 17 02,2
15:55:43.076,55 01 17 02,1
15:55:43.176,52 01 17 02,2
15:55:43.276,50 01 17 02,2
15:55:43.376,4E 01 17 02,2
15:55:43.476,4C 01 17 02,2
15:55:43.576,4A 01 17 02,2
15:55:43.676,48 01 17 02,2
15:55:43.776,46 01 17 02,1
15:55:43.876,44 01 17 02,1
15:55:43.976,42 01 17 02,1
15:55:44.076,40 01 17 02,1
15:55:44.176,3E 01 17 02,1
15:55:44.276,3C 01 17 02,1
15:55:44.376,39 01 17 02,2
15:55:44.476,38 01 17 02,1
15:55:44.576,36 01 17 02,2
15:55:44.676,34 01 17 02,2
15:55:44.777,32 01 17 02,2
15:55:44.876,30 01 17 02,2
15:55:44.977,2E 01 17 02,2
15:55:45.076,2C 01 17 02,2
15:55:45.177,2A 01 17 02,2
15:55:45.276,28 01 17 02,2
15:55:45.377,26 01 17 02,2
15:55:45.476,24 01 17 02,2
15:55:45.577,22 01 17 02,2
15:55:45.676,20 01 17 02,2
15:55:45.777,1E 01 17 02,2
15:55:45.877,1C 01 17 02,1
15:55:45.976,1A 01 17 02,1
15:55:46.077,18 01 17 02,1
15:55:46.177,16 01 17 02,1
15:55:46.277,14 01 17 02,1
15:55:46.377,12 01 17 02,1
15:55:46.477,10 01 17 02,1
15:55:46.577,0E 01 17 02,1
15:55:46.677,0C 01 17 02,1
15:55:46.777,09 09 17 02,2
15:55:46.877,07 01 17 02,2
15:55:46.977,04 01 17 02,1
15:55:47.077,02 01 17 02,1
15:55:47.177,00 01 17 02,2
15:55:47.277,00 02 17 02,4
15:55:47.678,00 02 07 02,7141
