Time,Payload,Payload_Occurrences
15:52:02.542,FF 01 04 00 00 3E 03 56,333
15:52:02.642,FF 01 04 00 00 3E 13 66,332
15:52:02.742,FF 01 04 00 00 3E 23 76,333
15:52:02.842,FF 01 04 00 00 3E 33 86,331
15:52:02.942,FF 01 04 00 00 3E 43 96,333
15:52:03.042,FF 01 04 00 00 3E 53 A6,333
15:52:03.142,FF 01 04 00 00 3E 63 B6,333
15:52:03.242,FF 01 04 00 00 3E 73 C6,334
15:52:03.342,FF 01 04 00 00 3E 83 D6,333
15:52:03.442,FF 01 04 00 00 3E 93 E6,332
15:52:03.542,FF 01 04 00 00 3E A3 F6,331
15:52:03.642,FF 01 04 00 00 3E B3 06,331
15:52:03.742,FF 01 04 00 00 3E C3 16,330
15:52:03.842,FF 01 04 00 00 3E D3 26,329
15:52:03.942,FF 01 04 00 00 3E E3 36,333
15:52:04.042,FF 01 04 00 00 3E F3 46,333
15:52:04.142,FF 01 04 00 00 3E 03 56,333
15:52:04.242,FF 01 04 00 00 3E 13 66,332
15:52:04.342,FF 01 04 00 00 3E 23 76,333
15:52:04.442,FF 01 04 00 00 3E 33 86,331
15:52:04.542,FF 01 04 00 00 3E 43 96,333
15:52:04.642,FF 01 04 00 00 3E 53 A6,333
15:52:04.742,FF 01 04 00 00 3E 63 B6,333
15:52:04.842,FF 01 04 00 00 3E 73 C6,334
15:52:04.942,FF 01 04 00 00 3E 83 D6,333
15:52:05.042,FF 01 04 00 00 3E 93 E6,332
15:52:05.142,FF 01 04 00 00 3E A3 F6,331
15:52:05.242,FF 01 04 00 00 3E B3 06,331
15:52:05.342,FF 01 04 00 00 3E C3 16,330
15:52:05.442,FF 01 04 00 00 3E D3 26,329
15:52:05.542,FF 01 04 00 00 3E E3 36,333
15:52:05.642,FF 01 04 00 00 3E F3 46,333
15:52:05.742,FF 01 04 00 00 3E 03 56,333
15:52:05.842,FF 01 04 00 00 3E 13 66,332
15:52:05.942,FF 01 04 00 00 3E 23 76,333
15:52:06.042,FF 01 04 00 00 3E 33 86,331
15:52:06.142,FF 01 04 00 00 3E 43 96,333
15:52:06.242,FF 01 04 00 00 3E 53 A6,333
15:52:06.342,FF 01 04 00 00 3E 63 B6,333
15:52:06.442,FF 01 04 00 00 3E 73 C6,334
15:52:06.542,FF 01 04 00 00 3E 83 D6,333
15:52:06.642,FF 01 04 00 00 3E 93 E6,332
15:52:06.742,FF 01 04 00 00 3E A3 F6,331
15:52:06.842,FF 01 04 00 00 3E B3 06,331
15:52:06.942,FF 01 04 00 00 3E C3 16,330
15:52:07.042,FF 01 04 00 00 3E D3 26,329
15:52:07.142,FF 01 04 00 00 3E E3 36,333
15:52:07.242,FF 01 04 00 00 3E F3 46,333
15:52:07.342,FF 01 04 00 00 3E 03 56,333
15:52:07.442,FF 01 04 00 00 3E 13 66,332
15:52:07.542,FF 01 04 00 00 3E 23 76,333
15:52:07.642,FF 01 04 00 00 3E 33 86,331
15:52:07.742,FF 01 04 00 00 3E 43 96,333
15:52:07.842,FF 01 04 00 00 3E 53 A6,333
15:52:07.942,FF 01 04 00 00 3E 63 B6,333
15:52:08.042,FF 01 04 00 00 3E 73 C6,334
15:52:08.142,FF 01 04 00 00 3E 83 D6,333
15:52:08.242,FF 01 04 00 00 3E 93 E6,332
15:52:08.342,FF 01 04 00 00 3E A3 F6,331
15:52:08.443,FF 01 04 00 00 3E B3 06,331
15:52:08.542,FF 01 04 00 00 3E C3 16,330
15:52:08.642,FF 01 04 00 00 3E D3 26,329
15:52:08.742,FF 01 04 00 00 3E E3 36,333
15:52:08.842,FF 01 04 00 00 3E F3 46,333
15:52:08.942,FF 01 04 00 00 3E 03 56,333
15:52:09.042,FF 01 04 00 00 3E 13 66,332
15:52:09.142,FF 01 04 00 00 3E 23 76,333
15:52:09.242,FF 01 04 00 00 3E 33 86,331
15:52:09.342,FF 01 04 00 00 3E 43 96,333
15:52:09.442,FF 01 04 00 00 3E 53 A6,333
15:52:09.542,FF 01 04 00 00 3E 63 B6,333
15:52:09.642,FF 01 04 00 00 3E 73 C6,334
15:52:09.742,FF 01 04 00 00 3E 83 D6,333
15:52:09.842,FF 01 04 00 00 3E 93 E6,332
15:52:09.942,FF 01 04 00 00 3E A3 F6,331
15:52:10.043,FF 01 04 00 00 3E B3 06,331
15:52:10.142,FF 01 04 00 00 3E C3 16,330
15:52:10.242,FF 01 04 00 00 3E D3 26,329
15:52:10.342,FF 01 04 00 00 3E E3 36,333
15:52:10.443,FF 01 04 00 00 3E F3 46,333
15:52:10.542,FF 01 04 00 00 3E 03 56,333
15:52:10.642,FF 01 04 00 00 3E 13 66,332
15:52:10.742,FF 01 04 00 00 3E 23 76,333
15:52:10.842,FF 01 04 00 00 3E 33 86,331
15:52:10.942,FF 01 04 00 00 3E 43 96,333
15:52:11.042,FF 01 04 00 00 3E 53 A6,333
15:52:11.142,FF 01 04 00 00 3E 63 B6,333
15:52:11.242,FF 01 04 00 00 3E 73 C6,334
15:52:11.342,FF 01 04 00 00 3E 83 D6,333
15:52:11.442,FF 01 04 00 00 3E 93 E6,332
15:52:11.542,FF 01 04 00 00 3E A3 F6,331
15:52:11.642,FF 01 04 00 00 3E B3 06,331
15:52:11.742,FF 01 04 00 00 3E C3 16,330
15:52:11.842,FF 01 04 00 00 3E D3 26,329
15:52:11.942,FF 01 04 00 00 3E E3 36,333
15:52:12.042,FF 01 04 00 00 3E F3 46,333
15:52:12.143,FF 01 04 00 00 3E 03 56,333
15:52:12.243,FF 01 04 00 00 3E 13 66,332
15:52:12.342,FF 01 04 00 00 3E 23 76,333
15:52:12.443,FF 01 04 00 00 3E 33 86,331
15:52:12.543,FF 01 04 00 00 3E 43 96,333
15:52:12.643,FF 01 04 00 00 3E 53 A6,333
15:52:12.743,FF 01 04 00 00 3E 63 B6,333
15:52:12.843,FF 01 04 00 00 3E 73 C6,334
15:52:12.943,FF 01 04 00 00 3E 83 D6,333
15:52:13.043,FF 01 04 00 00 3E 93 E6,332
15:52:13.143,FF 01 04 00 00 3E A3 F6,331
15:52:13.243,FF 01 04 00 00 3E B3 06,331
15:52:13.343,FF 01 04 00 00 3E C3 16,330
15:52:13.443,FF 01 04 00 00 3E D3 26,329
15:52:13.543,FF 01 04 00 00 3E E3 36,333
15:52:13.643,FF 01 04 00 00 3E F3 46,333
15:52:13.743,FF 01 04 00 00 3E 03 56,333
15:52:13.843,FF 01 04 00 00 3E 13 66,332
15:52:13.943,FF 01 04 00 00 3E 23 76,333
15:52:14.043,FF 01 04 00 00 3E 33 86,331
15:52:14.143,FF 01 04 00 00 3E 43 96,333
15:52:14.243,FF 01 04 00 00 3E 53 A6,333
15:52:14.343,FF 01 04 00 00 3E 63 B6,333
15:52:14.443,FF 01 04 00 00 3E 73 C6,334
15:52:14.543,FF 01 04 00 00 3E 83 D6,333
15:52:14.643,FF 01 04 00 00 3E 93 E6,332
15:52:14.743,FF 01 04 00 00 3E A3 F6,331
15:52:14.843,FF 01 04 00 00 3E B3 06,331
15:52:14.943,FF 01 04 00 00 3E C3 16,330
15:52:15.043,FF 01 04 00 00 3E D3 26,329
15:52:15.143,FF 01 04 00 00 3E E3 36,333
15:52:15.243,FF 01 04 00 00 3E F3 46,333
15:52:15.343,FF 01 04 00 00 3E 03 56,333
15:52:15.443,FF 01 04 00 00 3E 13 66,332
15:52:15.544,FF 01 04 00 00 3E 23 76,333
15:52:15.643,FF 01 04 00 00 3E 33 86,331
15:52:15.743,FF 01 04 00 00 3E 43 96,333
15:52:15.843,FF 01 04 00 00 3E 53 A6,333
15:52:15.943,FF 01 04 00 00 3E 63 B6,333
15:52:16.043,FF 01 04 00 00 3E 73 C6,334
15:52:16.143,FF 01 04 00 00 3E 83 D6,333
15:52:16.243,FF 01 04 00 00 3E 93 E6,332
15:52:16.343,FF 01 04 00 00 3E A3 F6,331
15:52:16.443,FF 01 04 00 00 3E B3 06,331
15:52:16.543,FF 01 04 00 00 3E C3 16,330
15:52:16.643,FF 01 04 00 00 3E D3 26,329
