Time,Payload,Payload_Occurrences
15:52:13.198,10 44 09 00 00 05 4A 61,5
15:52:13.204,21 73 6F 6E 20 44 65 72,5
15:52:13.227,22 75 6C 6F 20 2F 20 54,5
15:52:13.235,23 61 6B 65 20 59 6F 75,5
15:52:13.245,24 20 44 61 6E 63 69 6E,5
15:52:13.253,25 67 20 20 20 20 20 20,5
15:52:13.274,26 20 20 20 20 20 20 20,18
15:52:13.285,27 20 20 20 20 20 20 20,26
15:52:13.293,28 20 20 20 20 20 20 20,26
15:52:13.301,29 20 20 20 20 20 20 AA,34
15:52:16.829,10 10 0C 0E 01 05 1B 16,12
15:52:16.833,21 25 EE 45 4E 45 52 47,37
15:52:16.846,22 59 20 20 AA AA AA AA,35
15:52:16.874,10 10 0C 0E 02 05 10 28,11
15:52:16.881,21 28 A0 46 4C 55 58 46,34
15:52:16.888,22 4D 20 20 AA AA AA AA,35
15:52:16.924,10 10 0C 0E 03 05 14 51,11
15:52:16.934,21 25 1C 48 48 20 5A 57,36
15:52:16.946,22 45 49 20 AA AA AA AA,35
15:52:16.974,10 10 0C 0E 04 05 10 54,11
15:52:16.982,21 24 54 46 53 4B 20 39,36
15:52:16.990,22 33 2E 30 AA AA AA AA,36
15:52:17.024,10 10 0C 0E 05 05 10 55,11
15:52:17.033,21 23 D2 39 20 31 20 37,36
15:52:17.042,22 58 46 4D AA AA AA AA,35
15:52:17.073,10 10 0C 0E 06 05 D2 20,5
15:52:17.084,21 22 CE 44 6C 66 20 4B,35
15:52:17.095,22 75 6C 74 AA AA AA AA,53
15:52:17.125,10 10 0C 0E 07 05 D4 51,5
15:52:17.145,21 23 46 4E 44 52 20 39,33
15:52:17.151,22 30 2C 33 AA AA AA AA,32
15:52:17.184,10 10 0C 0E 08 05 D3 58,6
15:52:17.191,21 28 78 52 41 44 49 4F,36
15:52:17.197,22 20 48 48 AA AA AA AA,35
15:52:17.224,10 10 0C 0E 09 05 D7 5B,6
15:52:17.233,21 26 52 4B 4C 41 53 53,36
15:52:17.246,22 49 4B 20 AA AA AA AA,35
15:52:17.284,10 10 0C 0E 0A 05 D3 82,6
15:52:17.295,21 22 38 00 00 00 00 00,7
15:52:17.301,22 00 00 00 AA AA AA AA,60
15:52:17.333,10 10 0C 0E 0B 05 D3 83,6
15:52:17.349,21 26 C0 4E 44 52 20 4B,17
15:52:17.353,22 75 6C 74 AA AA AA AA,53
15:52:17.382,10 10 0C 0E 0C 05 D3 84,6
15:52:17.398,21 24 0E 00 00 00 00 00,14
15:52:17.405,22 00 00 00 AA AA AA AA,60
15:52:17.456,10 10 0C 0E 0D 05 D3 88,10
15:52:17.461,21 27 4C 00 00 00 00 00,25
15:52:17.471,22 00 00 00 AA AA AA AA,60
15:52:17.505,10 10 0C 0E 0E 05 D3 E1,12
15:52:17.528,21 22 F6 4E 44 52 20 31,34
15:52:17.534,22 20 53 48 AA AA AA AA,34
15:52:37.147,10 10 0C 0E 01 05 1B 16,12
15:52:37.155,21 25 EE 45 4E 45 52 47,37
15:52:37.161,22 59 20 20 AA AA AA AA,35
15:52:37.188,10 10 0C 0E 02 05 10 28,11
15:52:37.196,21 28 A0 46 4C 55 58 46,34
15:52:37.202,22 4D 20 20 AA AA AA AA,35
15:52:37.233,10 10 0C 0E 03 05 14 51,11
15:52:37.242,21 25 1C 48 48 20 5A 57,36
15:52:37.255,22 45 49 20 AA AA AA AA,35
15:52:37.282,10 10 0C 0E 04 05 10 54,11
15:52:37.297,21 24 54 46 53 4B 20 39,36
15:52:37.303,22 33 2E 30 AA AA AA AA,36
15:52:37.336,10 10 0C 0E 05 05 10 55,11
15:52:37.355,21 23 D2 39 20 31 20 37,36
15:52:37.362,22 58 46 4D AA AA AA AA,35
15:52:37.398,10 10 0C 0E 06 05 D2 20,5
15:52:37.402,21 22 CE 44 6C 66 20 4B,35
15:52:37.406,22 75 6C 74 AA AA AA AA,53
15:52:37.443,10 10 0C 0E 07 05 D4 51,5
15:52:37.461,21 23 46 4E 44 52 20 39,33
15:52:37.475,22 30 2C 33 AA AA AA AA,32
15:52:37.505,10 10 0C 0E 08 05 D3 58,6
15:52:37.521,21 28 78 52 41 44 49 4F,36
15:52:37.532,22 20 48 48 AA AA AA AA,35
15:52:37.562,10 10 0C 0E 09 05 D7 5B,6
15:52:37.566,21 26 52 4B 4C 41 53 53,36
15:52:37.582,22 49 4B 20 AA AA AA AA,35
15:52:37.631,10 10 0C 0E 0A 05 D3 82,6
15:52:37.642,21 22 38 00 00 00 00 00,7
15:52:37.656,22 00 00 00 AA AA AA AA,60
15:52:37.673,10 44 09 00 00 05 4A 61,5
15:52:37.681,21 73 6F 6E 20 44 65 72,5
15:52:37.694,22 75 6C 6F 20 2F 20 54,5
15:52:37.704,23 61 6B 65 20 59 6F 75,5
15:52:37.716,24 20 44 61 6E 63 69 6E,5
15:52:37.723,25 67 20 20 20 20 20 20,5
15:52:37.734,26 20 20 20 20 20 20 20,18
15:52:37.752,27 20 20 20 20 20 20 20,26
15:52:37.760,28 20 20 20 20 20 20 20,26
15:52:37.767,29 20 20 20 20 20 20 AA,34
15:52:37.779,10 10 0C 0E 0B 05 D3 83,6
15:52:37.783,21 26 C0 4E 44 52 20 4B,17
15:52:37.790,22 75 6C 74 AA AA AA AA,53
