Time,Payload,Payload_Occurrences
15:52:03.008,C7 81 72 2A 6E 00 00 00,144
15:52:10.007,C7 81 72 2B 6E 00 00 00,186
15:52:11.006,C7 81 72 2A 6E 00 00 00,144
15:52:36.008,C7 81 72 2B 6E 00 00 00,186
15:52:37.011,C7 81 72 2A 6E 00 00 00,144
15:52:44.009,C7 81 72 2B 6E 00 00 00,186
15:52:45.009,C7 81 72 2A 6E 00 00 00,144
15:52:46.009,C7 81 72 2B 6E 00 00 00,186
15:52:47.009,C7 81 72 2A 6E 00 00 00,144
15:52:50.009,C7 81 72 2B 6E 00 00 00,186
15:52:51.009,C7 81 72 2A 6E 00 00 00,144
15:52:52.010,C7 81 72 2B 6E 00 00 00,186
15:52:53.010,C7 81 72 2A 6E 00 00 00,144
15:52:57.009,C7 81 72 2B 6E 00 00 00,186
15:52:58.010,C7 81 72 2A 6E 00 00 00,144
15:53:00.010,C7 81 72 2B 6E 00 00 00,186
15:53:01.010,C7 81 72 2A 6E 00 00 00,144
15:53:07.010,C7 81 72 2B 6E 00 00 00,186
15:53:08.010,C7 81 72 2A 6E 00 00 00,144
15:53:15.011,C7 81 72 2B 6E 00 00 00,186
15:53:17.010,C7 81 72 2A 6E 00 00 00,144
15:53:22.011,C7 81 72 2B 6E 00 00 00,186
15:53:23.011,C7 81 72 2A 6E 00 00 00,144
15:53:26.011,C7 81 72 2B 6E 00 00 00,186
15:53:27.011,C7 81 72 2A 6E 00 00 00,144
15:53:28.011,C7 81 72 2B 6E 00 00 00,186
15:53:29.012,C7 81 72 2A 6E 00 00 00,144
15:53:32.011,C7 81 72 2B 6E 00 00 00,186
15:53:33.010,C7 81 72 2A 6E 00 00 00,144
15:53:36.010,C7 81 72 2B 6E 00 00 00,186
15:53:38.010,C7 81 72 2A 6E 00 00 00,144
15:53:39.011,C7 81 72 2B 6E 00 00 00,186
15:53:40.012,C7 81 72 2A 6E 00 00 00,144
15:53:42.011,C7 81 72 2B 6E 00 00 00,186
15:53:43.009,C7 81 72 2A 6E 00 00 00,144
15:53:45.012,C7 81 72 2B 6E 00 00 00,186
15:53:46.008,C7 81 72 2A 6E 00 00 00,144
15:54:26.014,C7 81 72 2B 6E 00 00 00,186
15:54:27.013,C7 81 72 2A 6E 00 00 00,144
15:54:28.015,C7 81 72 2B 6E 00 00 00,186
15:54:29.012,C7 81 72 2A 6E 00 00 00,144
15:54:30.014,C7 81 72 2B 6E 00 00 00,186
15:54:33.013,C7 81 72 2A 6E 00 00 00,144
15:54:37.014,C7 81 72 2B 6E 00 00 00,186
15:54:38.015,C7 81 72 2A 6E 00 00 00,144
15:54:39.014,C7 81 72 2B 6E 00 00 00,186
15:54:48.012,C7 81 72 2A 6E 00 00 00,144
15:54:50.013,C7 81 72 2B 6E 00 00 00,186
15:54:52.013,C7 81 72 2A 6E 00 00 00,144
15:54:54.013,C7 81 72 2B 6E 00 00 00,186
15:55:04.012,C7 81 72 2A 6E 00 00 00,144
15:55:08.011,C7 81 72 2B 6E 00 00 00,186
15:55:10.013,C7 81 72 2A 6E 00 00 00,144
15:55:12.012,C7 81 72 2B 6E 00 00 00,186
15:55:14.012,C7 81 72 2A 6E 00 00 00,144
15:55:15.012,C7 81 72 2B 6E 00 00 00,186
15:55:16.012,C7 81 72 2A 6E 00 00 00,144
15:55:17.012,C7 81 72 2B 6E 00 00 00,186
15:55:18.012,C7 81 72 2A 6E 00 00 00,144
15:55:19.012,C7 81 72 2B 6E 00 00 00,186
15:55:22.012,C7 81 72 2A 6E 00 00 00,144
15:55:23.012,C7 81 72 2B 6E 00 00 00,186
15:55:24.012,C7 81 72 2A 6E 00 00 00,144
15:55:25.013,C7 81 72 2B 6E 00 00 00,186
15:55:31.013,C7 81 72 2A 6E 00 00 00,144
15:55:32.013,C7 81 72 2B 6E 00 00 00,186
15:55:36.013,C7 81 72 2A 6E 00 00 00,144
15:55:38.013,C7 81 72 2B 6E 00 00 00,186
15:55:39.013,C7 81 72 2A 6E 00 00 00,144
15:55:40.013,C7 81 72 2B 6E 00 00 00,186
15:55:43.012,C7 81 72 2A 6E 00 00 00,144
15:55:45.012,C7 81 72 2B 6E 00 00 00,186
15:55:50.014,C7 81 72 2A 6E 00 00 00,144
15:55:52.014,C7 81 72 2B 6E 00 00 00,186
15:55:55.013,C7 81 72 2A 6E 00 00 00,144
15:55:56.013,C7 81 72 2B 6E 00 00 00,186
15:56:03.014,C7 81 72 2A 6E 00 00 00,144
15:56:05.013,C7 81 72 2B 6E 00 00 00,186
15:56:17.014,C7 81 72 2A 6E 00 00 00,144
15:56:19.014,C7 81 72 2B 6E 00 00 00,186
15:56:22.014,C7 81 72 2A 6E 00 00 00,144
15:56:24.014,C7 81 72 2B 6E 00 00 00,186
15:56:25.014,C7 81 72 2A 6E 00 00 00,144
15:56:30.015,C7 81 72 2B 6E 00 00 00,186
15:56:33.014,C7 81 72 2A 6E 00 00 00,144
15:56:34.014,C7 81 72 2B 6E 00 00 00,186
15:56:39.016,C7 81 72 2A 6E 00 00 00,144
15:56:40.016,C7 81 72 2B 6E 00 00 00,186
15:56:45.017,C7 81 72 2A 6E 00 00 00,144
15:56:46.015,C7 81 72 2B 6E 00 00 00,186
15:56:53.015,C7 81 72 2A 6E 00 00 00,144
15:56:56.017,C7 81 72 2B 6E 00 00 00,186
15:56:58.016,C7 81 72 2A 6E 00 00 00,144
15:57:00.016,C7 81 72 2B 6E 00 00 00,186
15:57:02.016,C7 81 72 2A 6E 00 00 00,144
15:57:03.016,C7 81 72 2B 6E 00 00 00,186
15:57:05.016,C7 81 72 2A 6E 00 00 00,144
15:57:06.016,C7 81 72 2B 6E 00 00 00,186
15:57:08.018,C7 81 72 2A 6E 00 00 00,144
15:57:09.017,C7 81 72 2B 6E 00 00 00,186
15:57:11.018,C7 81 72 2A 6E 00 00 00,144
15:58:00.020,C7 81 72 2B 6E 00 00 00,186
15:58:02.018,C7 81 72 2A 6E 00 00 00,144
15:58:03.021,C7 81 72 2B 6E 00 00 00,186
15:58:04.018,C7 81 72 2A 6E 00 00 00,144
15:58:05.018,C7 81 72 2B 6E 00 00 00,186
15:58:09.019,C7 81 72 2A 6E 00 00 00,144
15:58:11.019,C7 81 72 2B 6E 00 00 00,186
