Time,Payload,Payload_Occurrences
15:52:02.614,0,6377
15:52:03.214,0A,713
15:52:03.314,0,6377
15:52:04.214,0A,713
15:52:04.314,0,6377
15:52:05.214,0A,713
15:52:05.315,0,6377
15:52:06.215,0A,713
15:52:06.315,0,6377
15:52:07.215,0A,713
15:52:07.316,0,6377
15:52:08.215,0A,713
15:52:08.316,0,6377
15:52:09.216,0A,713
15:52:09.316,0,6377
15:52:10.217,0A,713
15:52:10.316,0,6377
15:52:11.216,0A,713
15:52:11.316,0,6377
15:52:12.216,0A,713
15:52:12.317,0,6377
15:52:13.217,0A,713
15:52:13.317,0,6377
15:52:14.217,0A,713
15:52:14.317,0,6377
15:52:15.217,0A,713
15:52:15.319,0,6377
15:52:16.218,0A,713
15:52:16.320,0,6377
15:52:17.218,0A,713
15:52:17.320,0,6377
15:52:18.218,0A,713
15:52:18.319,0,6377
15:52:19.219,0A,713
15:52:19.321,0,6377
15:52:20.221,0A,713
15:52:20.321,0,6377
15:52:21.219,0A,713
15:52:21.321,0,6377
15:52:22.220,0A,713
15:52:22.321,0,6377
15:52:23.221,0A,713
15:52:23.321,0,6377
15:52:24.221,0A,713
15:52:24.321,0,6377
15:52:25.222,0A,713
15:52:25.321,0,6377
15:52:26.222,0A,713
15:52:26.321,0,6377
15:52:27.222,0A,713
15:52:27.322,0,6377
15:52:28.223,0A,713
15:52:28.322,0,6377
15:52:29.223,0A,713
15:52:29.323,0,6377
15:52:30.223,0A,713
15:52:30.323,0,6377
15:52:31.223,0A,713
15:52:31.323,0,6377
15:52:32.223,0A,713
15:52:32.323,0,6377
15:52:33.223,0A,713
15:52:33.323,0,6377
15:52:34.224,0A,713
15:52:34.324,0,6377
15:52:35.224,0A,713
15:52:35.324,0,6377
15:52:36.224,0A,713
15:52:36.324,0,6377
15:52:37.225,0A,713
15:52:37.325,0,6377
15:52:38.225,0A,713
15:52:38.325,0,6377
15:52:39.226,0A,713
15:52:39.325,0,6377
15:52:40.227,0A,713
15:52:40.326,0,6377
15:52:41.228,0A,713
15:52:41.328,0,6377
15:52:42.228,0A,713
15:52:42.328,0,6377
15:52:43.228,0A,713
15:52:43.328,0,6377
15:52:44.228,0A,713
15:52:44.328,0,6377
15:52:45.229,0A,713
15:52:45.329,0,6377
15:52:46.229,0A,713
15:52:46.329,0,6377
15:52:47.229,0A,713
15:52:47.329,0,6377
15:52:48.229,0A,713
15:52:48.329,0,6377
15:52:49.230,0A,713
15:52:49.330,0,6377
15:52:50.230,0A,713
15:52:50.330,0,6377
15:52:51.230,0A,713
15:52:51.330,0,6377
15:52:52.231,0A,713
15:52:52.331,0,6377
15:52:53.231,0A,713
15:52:53.331,0,6377
15:52:54.231,0A,713
15:52:54.331,0,6377
15:52:55.231,0A,713
15:52:55.332,0,6377
15:52:56.232,0A,713
15:52:56.332,0,6377
15:52:57.232,0A,713
15:52:57.332,0,6377
15:52:58.232,0A,713
15:52:58.332,0,6377
15:52:59.232,0A,713
15:52:59.332,0,6377
15:53:00.232,0A,713
15:53:00.332,0,6377
15:53:01.233,0A,713
15:53:01.333,0,6377
15:53:02.233,0A,713
15:53:02.333,0,6377
15:53:03.233,0A,713
15:53:03.333,0,6377
15:53:04.234,0A,713
15:53:04.334,0,6377
15:53:05.234,0A,713
15:53:05.334,0,6377
15:53:06.234,0A,713
15:53:06.334,0,6377
15:53:07.234,0A,713
15:53:07.335,0,6377
15:53:08.235,0A,713
15:53:08.335,0,6377
15:53:09.236,0A,713
15:53:09.336,0,6377
15:53:10.236,0A,713
15:53:10.336,0,6377
15:53:11.236,0A,713
15:53:11.336,0,6377
15:53:12.237,0A,713
15:53:12.337,0,6377
15:53:13.237,0A,713
15:53:13.337,0,6377
15:53:14.238,0A,713
15:53:14.338,0,6377
15:53:15.238,0A,713
15:53:15.338,0,6377
15:53:16.238,0A,713
15:53:16.338,0,6377
15:53:17.238,0A,713
15:53:17.338,0,6377
15:53:18.239,0A,713
15:53:18.338,0,6377
15:53:19.238,0A,713
15:53:19.338,0,6377
15:53:20.239,0A,713
15:53:20.339,0,6377
15:53:21.239,0A,713
15:53:21.339,0,6377
15:53:22.239,0A,713
15:53:22.339,0,6377
15:53:23.240,0A,713
15:53:23.340,0,6377
15:53:24.240,0A,713
15:53:24.340,0,6377
15:53:25.241,0A,713
15:53:25.340,0,6377
15:53:26.241,0A,713
15:53:26.341,0,6377
15:53:27.241,0A,713
15:53:27.341,0,6377
15:53:28.242,0A,713
15:53:28.341,0,6377
15:53:29.242,0A,713
15:53:29.342,0,6377
15:53:30.242,0A,713
15:53:30.342,0,6377
15:53:31.242,0A,713
15:53:31.342,0,6377
15:53:32.243,0A,713
15:53:32.343,0,6377
15:53:33.243,0A,713
15:53:33.343,0,6377
15:53:34.243,0A,713
15:53:34.343,0,6377
15:53:35.244,0A,713
15:53:35.344,0,6377
15:53:36.247,0A,713
15:53:36.348,0,6377
15:53:37.250,0A,713
15:53:37.350,0,6377
15:53:38.248,0A,713
15:53:38.349,0,6377
15:53:39.248,0A,713
15:53:39.351,0,6377
15:53:40.251,0A,713
15:53:40.351,0,6377
15:53:41.250,0A,713
15:53:41.352,0,6377
15:53:42.251,0A,713
15:53:42.351,0,6377
