Time,Payload,Payload_Occurrences
15:52:02.560,0,5639
15:52:02.861,0A,1434
15:52:02.962,0,5639
15:52:03.361,0A,1434
15:52:03.462,0,5639
15:52:03.862,0A,1434
15:52:03.963,0,5639
15:52:04.362,0A,1434
15:52:04.463,0,5639
15:52:04.862,0A,1434
15:52:04.963,0,5639
15:52:05.362,0A,1434
15:52:05.462,0,5639
15:52:05.862,0A,1434
15:52:05.964,0,5639
15:52:06.363,0A,1434
15:52:06.462,0,5639
15:52:06.863,0A,1434
15:52:06.963,0,5639
15:52:07.363,0A,1434
15:52:07.463,0,5639
15:52:07.862,0A,1434
15:52:07.966,0,5639
15:52:08.364,0A,1434
15:52:08.463,0,5639
15:52:08.863,0A,1434
15:52:08.964,0,5639
15:52:09.363,0A,1434
15:52:09.463,0,5639
15:52:09.864,0A,1434
15:52:09.965,0,5639
15:52:10.365,0A,1434
15:52:10.464,0,5639
15:52:10.863,0A,1434
15:52:10.964,0,5639
15:52:11.364,0A,1434
15:52:11.464,0,5639
15:52:11.864,0A,1434
15:52:11.967,0,5639
15:52:12.365,0A,1434
15:52:12.465,0,5639
15:52:12.865,0A,1434
15:52:12.966,0,5639
15:52:13.366,0A,1434
15:52:13.465,0,5639
15:52:13.866,0A,1434
15:52:13.968,0,5639
15:52:14.367,0A,1434
15:52:14.468,0,5639
15:52:14.866,0A,1434
15:52:14.967,0,5639
15:52:15.368,0A,1434
15:52:15.468,0,5639
15:52:15.868,0A,1434
15:52:15.969,0,5639
15:52:16.369,0A,1434
15:52:16.468,0,5639
15:52:16.869,0A,1434
15:52:16.969,0,5639
15:52:17.369,0A,1434
15:52:17.469,0,5639
15:52:17.869,0A,1434
15:52:17.970,0,5639
15:52:18.369,0A,1434
15:52:18.469,0,5639
15:52:18.869,0A,1434
15:52:18.970,0,5639
15:52:19.370,0A,1434
15:52:19.471,0,5639
15:52:19.870,0A,1434
15:52:19.970,0,5639
15:52:20.371,0A,1434
15:52:20.471,0,5639
15:52:20.871,0A,1434
15:52:20.972,0,5639
15:52:21.371,0A,1434
15:52:21.471,0,5639
15:52:21.872,0A,1434
15:52:21.972,0,5639
15:52:22.372,0A,1434
15:52:22.472,0,5639
15:52:22.873,0A,1434
15:52:22.973,0,5639
15:52:23.373,0A,1434
15:52:23.473,0,5639
15:52:23.873,0A,1434
15:52:23.973,0,5639
15:52:24.378,0A,1434
15:52:24.476,0,5639
15:52:24.875,0A,1434
15:52:24.978,0,5639
15:52:25.375,0A,1434
15:52:25.475,0,5639
15:52:25.875,0A,1434
15:52:25.975,0,5639
15:52:26.377,0A,1434
15:52:26.477,0,5639
15:52:26.878,0A,1434
15:52:26.978,0,5639
15:52:27.378,0A,1434
